Tanggal,Penulis,Judul,Artikel,Label
" Rabu, 29 November 2023 16:58 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Roy Rosa BachtiarCOPYRIGHT © ANTARA 2023,Apriyani sebut cedera betis mulai membaik dan fokus persiapan WTF," Alhamdulillah sekarang saya merasa 90 persen baik, sudah berkurang sakitnya dan tidak ada rasa ngiluJakarta (ANTARA) - Pebulu tangkis ganda putri Indonesia Apriyani Rahayu mengungkapkan kondisi betisnya yang cedera kini sudah membaik, dan kini fokus untuk berlatih jelang World Tour Finals (WTF) di Hangzhou, China, Desember.    “Alhamdulillah sekarang saya merasa 90 persen baik, sudah berkurang sakitnya dan tidak ada rasa ngilu. Sementara untuk 10 persennya lagi ada di mindset, berani lagi saja,” ungkap Apriyani saat ditemui di Pelatnas PP PBSI Cipayung, Jakarta Timur, Rabu.    Sebelumnya, peraih medali emas Olimpiade 2020 Tokyo itu memutuskan untuk mundur dari babak 16 besar Turnamen BWF Super 750 China Masters 2023 saat berhadapan dengan wakil Prancis Margot Lambert/Anne Tran.    Apriyani mengungkapkan, keputusannya untuk mundur dari China Masters cukup membuatnya cemas, setelah sebelumnya juga sempat melakukan hal yang sama untuk kali keempat pada tahun ini.  Baca juga: Apri/Fadia mengundurkan diri dari China Masters karena cedera    “Pasti ada rasa khawatir. Tahun ini, betul ada rasa cemas juga, karena balik lagi yang tadi saya bilang, pertandingan kami sangat banyak. Apalagi kami persiapkan untuk Olimpiade,” ungkap Apriyani.    “Saya juga bilang ke pelatih, mungkin karena di tahun ini, semua (atlet) mengejar poin (Olimpiade 2024), ya. Semua negara, bukan hanya kami saja. Jadi memang ini tahun yang sangat melelahkan. Bukan hanya badan, pikiran juga,” ujarnya menambahkan.    Meski demikian, Apriyani mengatakan dirinya tidak ingin patah semangat dan terus ingin berusaha untuk masuk ke jajaran pemain yang lolos ke Olimpiade 2024 Paris bersama rekannya, Siti Fadia Silva Ramadhanti.    Pebulu tangkis asal Konawe, Sulawesi Tenggara, itu menambahkan, ia dan Fadia saling memberikan dukungan satu sama lain dan memperkuat hubungan serta kekompakan mereka, di dalam maupun di luar lapangan.    “Fadia datang dan bilang, apa pun yang aku rasakan, jangan pernah dipaksa atau di-push lagi. Maksudnya, cukup untuk jujur saja, karena dia tahu saya jarang sekali mengeluh di depan dia, di depan siapa pun,” kata Apiyani.    “Dan itu salah satu hal yang menaikkan mental saya, karena bagaimana pun saya dan Fadia yang main berdua di lapangan. Itu yang penting, makin ke sini, semakin menjadi merasa kuat jelang WTF dan nanti Olimpiade,” imbuhnya.  Baca juga: Cedera betis pupuskan harapan Apri/Fadia juarai Hylo OpenPewarta: Arnidhya Nur ZhafiraEditor: Roy Rosa Bachtiar    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 16:18 WIB",Pewarta: Fajar SatriyoEditor: Roy Rosa BachtiarCOPYRIGHT © ANTARA 2023,Savira Diah Fitri sabet medali perunggu di World Kurash Championship,"     Jakarta (ANTARA) - Atlet kurash Indonesia Savira Diah Fitri Rizkianti meraih medali perunggu pada ajang kejuaraan dunia bertajuk World Kurash Championship 2023 yang berlangsung di Ashgabat, Turkmenistan, pada 23-28 November.   Savira yang turun di kelas -48 Kg menjadi juara ketiga. Perolehan medali perunggu tersebut mempertahankan catatan impresif Savira yang diperoleh pada World Kurash Championship 2022 di India.   ""Alhamdulillah Savira atlet kami asal Jawa Timur berhasil mempertahankan peringkat ke-3 dunia kelas -48 Kg yang tahun lalu dia dapatkan di Pune, India,” kata Ketua Umum Pengurus Besar Federasi Kurash Indonesia (PB Ferkushi) Hafil Fuddin melalui keterangan tertulis yang diterima di Jakarta, Rabu.   Indonesia menurunkan tiga atlet dalam kejuaraan kali ini, selain Savira, ada dua atlet kurash putra yang turut bertanding yaitu Syahrul Ramadhani yang turun di kelas -60 Kg dan Ananda Triputra Rizki Sumadi yang turun di kelas -73 Kg.   Namun Syahrul dan Ananda belum dapat meraih prestasi di kejuaraan kurash dunia tersebut.   “Harapan ke depan, semoga persiapan atlet-atlet kami akan lebih keras lagi, melihat jumlah peserta yang semakin meningkat dan persiapan negara lain yang lebih matang,” Hafil menguraikan.   Hafil mengatakan, Indonesia harus lebih serius dalam mempersiapkan atlet-atlet kurash ke ajang internasional. Selain itu ia mengharapkan melalui ajang multicabang seperti Pekan Olahraga Nasional (PON), dapat memberikan kesempatan dan kesiapan bagi daerah-daerah di seluruh Indonesia untuk melahirkan atlet-atlet kurash.   ""Indonesia harus lebih serius dalam mempersiapkan atlet-atlet, khususnya di event internasional. Selain itu, daerah juga harus persiapkan atlet lebih baik lagi,” kata Hafil.  Baca juga: Ketum KONI minta PB Ferkushi sosialisasikan kurash hingga pelosok  Baca juga: Najmu Shifa raih medali perunggu kelas 63 kg kurash putriPewarta: Fajar SatriyoEditor: Roy Rosa Bachtiar    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 14:07 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,"Mir ungkap fisiknya kian membaik setelah ""crash"" di GP Valencia","     Jakarta (ANTARA) - Pembalap Repsol Honda Joan Mir mengungkapkan kondisi fisiknya sudah kian membaik setelah sempat crash pada hari pertama dan tidak bisa mengikuti babak pamungkas MotoGP Valencia, pekan lalu.    “Ini adalah momen yang baik. Saya senang bisa ikut dalam uji coba ini (Selasa), mengingat saya kecelakaan pada Jumat (24/11). Saya merasakan sedikit rasa sakit, tapi yang penting adalah kami dapat menjalani hari yang baik dan melewati banyak hal bersama,,” kata Mir, dikutip dari keterangan resmi HRC, Rabu.    Adapun Mir pada uji coba perdana di Valencia, menjajal prototipe Honda RC213V 2024 untuk pertama kalinya bersama rekan satu tim barunya, Luca Marini, yang hengkang dari VR46 untuk mengisi kursi yang ditinggalkan oleh Marc Marquez di tim pabrikan Honda tersebut.  Baca juga: Binder sebut KTM fokus pada pengembangan pengaturan motor 2024  Baca juga: Di Giannantonio nikmati pengalaman pertama bersama VR46    Sementara itu, Mir menyelesaikan uji coba di Valencia dengan total 69 lap dan membukukan waktu lap tercepat 1 menit 30,051. Ia pun mengakhiri hari di urutan ke-13. Di sisi lain, Marini finis P10 dengan waktu terbaik 1 menit 29,956 detik dan menyelesaikan total sebanyak 72 lap.    Lebih lanjut, Mir menilai kecepatan motor RC213V baru ini cukup baik bila dibandingkan dengan edisi sebelumnya. “Saya senang dengan apa yang kami lihat dari protobike,” kata Mir.    “Kecepatan kami bagus dan perkembangannya positif. Masih ada pekerjaan yang harus dilakukan, namun langkah pertama sudah berada di arah yang benar dan kita dapat memasuki musim liburan dengan menantikan apa yang akan terjadi nanti,” ujarnya menambahkan.    Sementara itu, uji coba MotoGP 2024 kedua akan digelar di Sirkuit Internasional Sepang, Malaysia, pada 6-8 Februari. Musim mendatang pun akan dibuka dengan putaran pertama di Sirkuit Internasional Lusail, Qatar, pada 8-11 Maret.  Baca juga: Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motorPewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 13:49 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,Binder sebut KTM fokus pada pengembangan pengaturan motor 2024,"     Jakarta (ANTARA) - Pembalap Red Bull KTM Brad Binder mengatakan tim tengah fokus pada pengembangan pengaturan motor mereka, termasuk pada mesin, knalpot, hingga aerodinamika agar lebih siap dan maksimal untuk mengarungi MotoGP musim 2024.    “Kami mencoba beberapa hal berbeda dengan aerodinamika dan beberapa knalpot. Kami tidak memiliki sesuatu yang besar atau radikal, namun kami belajar banyak tentang apa yang kami gunakan, dan itu adalah hal yang paling penting,” kata Binder, dikutip dari keterangan resmi KTM, Rabu.    Lebih lanjut, Binder yang berhasil finis P2 pada uji coba di Valencia, Selasa (28/11) itu pun mengatakan motor RC16 sudah tampil cukup baik.    Namun, tetap masih diperlukan pengembangan lebih lanjut dari sisi kelistrikan dan pengaturan teknis lainnya, yang nantinya akan mereka jajal di uji coba kedua di Sirkuit Internasional Sepang, Malaysia, 6-8 Februari 2024.    “Kami bermain dengan beberapa perangkat elektronik untuk mencoba dan menempatkan motor lebih mantap, tapi masih ada ruang buat kami untuk bekerja lebih jauh. Semuanya merupakan titik awal menuju tes berikutnya di Malaysia,” ujar pembalap asal Afrika Selatan itu.  Baca juga: Marquez terlihat nyaman di atas motor Ducati pada tes Valencia  Baca juga: Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motor    Di sisi lain, rekan satu timnya, Jack Miller, mengatakan tim sudah memiliki arah yang jelas tentang hal-hal apa saja yang ingin mereka kembangkan.    “Kami sudah memiliki arah yang jelas tentang apa yang ingin kami tingkatkan. Kami bekerja keras untuk membuat rentang tenaga yang lebih luas, kami mencoba beberapa aero, dan juga cengkraman (grip),” ungkap Miller.    Manajer Tim Balap KTM Francesco Guidotti menambahkan, sesi uji coba pertama di Valencia penting karena ini merupakan langkah awal bagi tim untuk mengumpulkan lebih banyak data terkait hal-hal apa saja yang perlu menjadi sorotan.    “Kami perlu mengerjakan sedikit detail dan pembalap perlu memahami bagaimana dan di mana menggunakan potensi tersebut. Kami mencari peluang kecil di sisi elektronik, aerodinamika, dan lainnya. Ada banyak area yang masih bisa kami kerjakan,” jelas Guidotti.    Sependapat, Manajer Teknis Tim Balap KTM Sebastian Risse mengatakan, tim dan pembalap telah melakukan pekerjaan yang baik dalam mengeksplorasi beberapa arah untuk aerodinamika menyusul homologasi tahun depan.    “Ini merupakan beban kerja yang sangat tinggi dalam beberapa minggu terakhir dan tim bekerja dengan baik. Saya bangga akan hal itu dan saya pikir kami bisa menantikan musim yang sangat bagus tahun depan,” ujarnya.  Baca juga: Di Giannantonio nikmati pengalaman pertama bersama VR46  Baca juga: Bagnaia yakin bisa maksimalkan potensi motor baru di MotoGP 2024Pewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 11:53 WIB",,NBA : Mavericks menang 121-115 atas Rockets,,olahraga
" Rabu, 29 November 2023 11:26 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,Bagnaia yakin bisa maksimalkan potensi motor baru di MotoGP 2024,"     Jakarta (ANTARA) - Juara dunia dua kali Francesco Bagnaia (Ducati Lenovo) mengatakan dirinya yakin tim bisa memaksimalkan potensi motor Ducati Desmosedici GP23 dengan konfigurasi baru untuk mengarungi MotoGP musim 2024.    “Saya puas dengan tes pertama di Valencia. Mesinnya bagus. Penting untuk mengerjakan beberapa aspek tertentu, namun, jika dibandingkan dengan tahun lalu, kami sudah memiliki titik awal yag baik, dan masih banyak ruang untuk kami berkembang. Itu yang paling penting,” jelas Bagnaia, dikutip dari keterangan resmi Ducati Corse, Rabu.    Pada uji coba di Sirkuit Ricardo Tormo, Valencia, Selasa (28/11), pembalap yang akrab disapa Pecco itu berhasil menyelesaikan 51 lap dengan waktu lap tercepat 1 menit 29,970 detik.    Ia menilai, performa motornya cukup konsisten, baik itu saat menggunakan ban baru maupun ban bekas. Bagnaia pun tak sabar untuk segera kembali ke kampung halamannya di Italia untuk beristirahat, sebelum akhirnya ia dan tim kembali ke atas trek Sirkuit Internasional Sepang pada 6-8 Februari, untuk melakukan uji coba kedua.    “Sekarang kami dapat mengatakan bahwa musim benar-benar telah berakhir dan kami dapat pulang dan beristirahat. Sampai jumpa di Sepang pada bulan Februari!” kata dia.  Baca juga: MotoGP Valencia: Martin ""crash"", Bagnaia pertahankan gelar juara dunia    Sementara itu, rekan satu tim Bagnaia, Enea Bastianini, mengatakan jeda di bulan Desember dan Januari ini akan ia manfaatkan untuk fokus pada pemulihan kondisi fisiknya, mengingat ia sempat menderita cedera parah pada musim 2023.    “Saya akan mencoba mendedikasikan waktu istirahat ini untuk diri saya, terutama pada sesi latihan, untuk meraih kembali kebugaran dengan kondisi 100 persen, setelah dua cedera yang saya derita tahun ini,” ungkap Bastianini.    Pemenang MotoGP Malaysia 2023 itu pun mengaku cukup puas dengan uji coba di Valencia, dengan menyelesaikan 56 lap dan mencatatkan waktu lap terbaik 1 meni 29,796 detik. Bastianini tak mengelak bahwa ia masih membutuhkan waktu untuk beradaptasi dengan motor baru.    “Performa dengan mesin baru terasa positif. Meskipun saya masih memerlukan beberapa penyesuaian, namun secara keseluruhan dampaknya positif,” ujar pembalap yang dijuluki The Beast itu.  Baca juga: Marquez terlihat nyaman di atas motor Ducati pada tes Valencia  Baca juga: Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motor  Baca juga: Di Giannantonio nikmati pengalaman pertama bersama VR46Pewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 11:23 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,Di Giannantonio nikmati pengalaman pertama bersama VR46,"     Jakarta (ANTARA) - Pembalap motor Fabio Di Giannantonio mengatakan ia menikmati pengalaman pertamanya bekerja sama dengan tim balap VR46 untuk mengarungi MotoGP musim 2024.    Pada uji coba di Valencia, Selasa (28/11), Di Giannantonio mengatakan sejauh ini perasaannya saat mengendarai Ducati Desmosedici GP23 cukup baik, dan mantan pembalap Gresini Racing itu mampu beradaptasi dengan cepat.    “Saya sangat menikmatinya, pendekatan pertama dengan tim sangat positif. Saya merasa nyaman dan berusaha melakukannya dengan baik untuk membuat mereka bangga,” kata Di Giannantonio, dikutip dari keterangan resmi VR46, Rabu.    “Saya berhasil menjadi sangat cepat dengan semua ban dan membuat langkah maju yang baik dibandingkan saat balapan. Perasaannya sangat positif,” ujarnya.    Lebih lanjut, pembalap yang akrab disapa Diggia itu mengatakan dari segi motor, Desmosedici GP23 memang memiliki perbedaan jika dibandingkan dengan GP22. Namun, tak banyak perbedaan yang ada, sehingga ia menilai tim masih memiliki waktu untuk memaksimalkan potensi motor lebih jauh lagi.  Baca juga: Fabio Di Giannantonio resmi bergabung dengan VR46    Di sisi lain, rekan satu timnya, Marco Bezzecchi, mengatakan uji coba di Valencia berjalan dengan baik. Meskipun Desmosedici GP23 mampu berakselerasi dengan cepat, Bezzecchi menilai pembalap masih harus beradaptasi lagi karena motor memiliki perbedaan dari model sebelumnya.    “Kami harus memperbaiki setting dan memperhatikan beberapa aspek gaya (berkendara) saya, seperti masuk ke tikungan dengan rem dan sentuhan gas. Saya harus membiasakan diri, tapi saya puas (dengan tes ini),” kata Bezzecchi.    Peraih medali perunggu MotoGP 2023 itu pun berharap, ia dan tim bisa mempersiapkan diri dengan baik sebelum melakoni uji coba berikutnya di Sirkuit Internasional Sepang pada 6-8 Februari 2024.    “Dan sekarang adalah waktu liburan, yang memang pantas untuk kami terima bagi saya dan seluruh tim yang melakukan pekerjaan luar biasa pada tahun 2023 ini,” kata Bezzecchi.  Baca juga: Marquez terlihat nyaman di atas motor Ducati pada tes Valencia  Baca juga: Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motorPewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 10:39 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,Quartararo dan Rins soroti langkah Yamaha perbarui aerodinamika motor,"     Jakarta (ANTARA) - Dua pembalap Monster Energy Yamaha Fabio Quartararo dan Alex Rins menyoroti langkah tim pabrikan yang cukup baik dalam memperbarui sisi aerodinamika motor untuk MotoGP 2024, saat melakukan uji coba di Valencia, Spanyol.    “Saya pikir kami mendapatkan beberapa hal positif, namun kami masih harus mengubah banyak hal. Ada beberapa perubahan besar terutama di sisi aero. Namun, menurut saya, arah yang kami ambil sudah tepat,” kata Quartararo.    Lebih lanjut, pembalap Prancis itu berharap tim dan dirinya bisa mempersiapkan diri dengan baik di sesi uji coba selanjutnya di Sirkuit Sepang, Malaysia. Quartararo juga ingin berada pada kondisi fisik yang prima untuk menghadapi MotoGP tahun depan.    “Kami telah mengambil beberapa langkah, dan semoga di Sepang kami bisa berada dalam kondisi 100 persen. Selain itu, saat ini saya juga merasa baik-baik saja. Saya harus terus mengonsumsi antibiotik selama beberapa hari, tapi kini (kondisi) jauh lebih baik (dari demam tinggi),” ungkap Quartararo.  Baca juga: Quartararo pertimbangkan masa depannya di Yamaha setelah musim sulit    Sementara itu, Rins mengaku senang bisa memulai perjalanannya bersama tim pabrikan Yamaha. Ia mengatakan sudah mampu beradaptasi cepat saat berada di motor.    “Kami menguji banyak hal, hal-hal kecil mengenai pengaturan motor, terutama aerodinamika. Saya cukup senang karena saya beradaptasi cukup baik dengan motor sejak dini,” ujar Rins, yang pindah ke Yamaha dari tim LCR Honda tersebut.    Di sisi lain, Direktur Tim Monster Energy Yamaha Massimo Meregalli mengatakan uji coba pertama di Valencia merupakan salah satu hari yang penting bagi tim. Prioritas mereka pada tes ini adalah pembaruan dari sisi aerodinamika, mesin, dan sasis.    “Secara keseluruhan ini adalah hari yang positif. Kedua pembalap melihat adanya peningkatan, dan ini menegaskan bahwa langkah kami sudah tepat,” kata Meregalli.    “Kami akan mengirimkan seluruh data ke Yamaha Motor Company di Jepang dan Yamaha Motor Racing di Italia, di mana para insinyur Yamaha akan bekerja tanpa lelah untuk mempersiapkan langkah selanjutnya untuk tes di Sepang,” ujarnya.  Baca juga: Marquez terlihat nyaman di atas motor Ducati pada tes Valencia    Pewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Rabu, 29 November 2023 10:34 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Irwan SuhirwandiCOPYRIGHT © ANTARA 2023,Marquez terlihat nyaman di atas motor Ducati pada tes Valencia,"     Jakarta (ANTARA) - Pembalap motor Marc Marquez terlihat nyaman di atas motor Ducati saat melakoni uji coba untuk MotoGP 2024 di Sirkuit Ricardo Tormo, Valencia, Spanyol, sebagai salah satu pembalap tim Gresini Racing.    Menurut laporan dari MotoGP, Rabu, Marc Marquez menjadi yang tercepat dengan catatan waktu 1 menit 29,460 detik, sebelum pada akhirnya ia finis di P4 di belakang Maverick Vinales (Aprilia Racing), Brad Binder (Red Bull KTM), dan Marco Bezzecchi (VR46). Ia hanya terpaut 0,171 detik dari Vinales.    “Hasilnya cukup baik, seperti yang sudah kami duga,” kata Marquez, dikutip dari video singkat MotoGP.    Sementara sang adik sekaligus rekan satu timnya, Alex Marquez, mengatakan ia berharap ada peningkatan yang baik dari sisi mesin dan tenaga untuk motor Ducati ‘23.    Beralih ke tim pabrikan, Francesco Bagnaia dan Enea Bastianini dilaporkan menguji coba sasis dan mesin baru untuk motor yang akan mereka kendarai musim depan. Jorge Martin (Prima Pramac) juga dilaporkan menguji coba hal yang sama, namun ia mengalami dua kecelakaan tak terduga.    Lebih lanjut, peraih medali perunggu MotoGP 2023 Bezzecchi bersama rekan setim barunya Fabio Di Giannantonio di VR46 juga menguji coba mesin Ducati ‘23 terbaru di Valencia. Kedua pembalap muda itu pun dinilai menunjukkan hasil yang positif.  Baca juga: Marquez kecewa akhiri musim bersama Honda tanpa podium Valencia    Marc Marquez bukan satu-satunya pembalap yang beradaptasi dengan Ducati untuk pertama kalinya. Franco Morbidelli (Prima Pramac) memulai babak barunya di MotoGP dengan mewarisi motor Johann Zarco yang kini ditambah dengan unit ekor dan aero yang diperbarui.    Beralih ke tim pabrikan otomotif Jepang, ada Luca Marini yang kini berada di garasi Repsol Honda bersama Joan Mir yang dilaporkan sudah pulih dari cedera. Keduanya pun langsung menjajal RC213V 2024 dengan tampilan baru.    Motor Honda disebut diperbarui sepenuhnya, mulai dari sasis, hingga sistem aerodinamis baru. Manajer Tim Repsol Honda Alberto Puig mengatakan Mir cukup senang dengan kemajuan yang dicapai dengan motor barunya, dan perasaannya cukup berbeda jika dibandingkan dengan motor 2023.    Selain itu, Mir juga bekerja dengan mantan Crew Chief Marc Marquez, Santi Hernandez, untuk pertama kalinya sebelum keduanya menjalani tahun 2024 bersama-sama.    Di sisi lain, Alex Rins bergabung dengan Fabio Quartararo di garasi Monster Energy Yamaha untuk pertama kalinya. Kedua pembalap pabrikan tersebut menjajal motor baru Yamaha yang kini dilaporkan memiliki knalpot duel yang lebih panjang.    Sementara itu, MotoGP musim mendatang akan dimulai di Sirkuit Internasional Lusail, Qatar, pada 8-11 Maret.  Baca juga: Quartararo pertimbangkan masa depannya di Yamaha setelah musim sulitPewarta: Arnidhya Nur ZhafiraEditor: Irwan Suhirwandi    COPYRIGHT © ANTARA 2023 ",olahraga
" Selasa, 28 November 2023 21:52 WIB",Pewarta: Fajar SatriyoEditor: Eka Arifa RusqiyatiCOPYRIGHT © ANTARA 2023,KONI kerja sama dengan LAK Galuh Pakuan bangun kawasan pembinaan atlet,"     Jakarta (ANTARA) - Komite Olahraga Nasional Indonesia (KONI) Pusat bekerja sama dengan Lembaga Adat Keraton (LAK) Galuh Pakuan untuk membangun kawasan pembinaan atlet di Jalan Cagak, Subang, Jawa Barat.   Dalam keterangan resmi, Selasa, Raja Lembaga Adat Keraton (LAK) Galuh Pakuan RM Evi Silviadi mengundang KONI Pusat untuk meninjau lokasi rencana pembangunan kawasan pusat pembinaan atlet Jalan Cagak di lahan PT Perkebunan Nusantara (Persero) VIII (PTPN).   “Perjalanannya tentunya masih panjang, pertama masalah administrasinya. Kemudian kami menunggu PTPN dan Pemerintah Subang,” ujar Ketua UmumKONI Pusat Marciano Norman.   Namun begitu, Marcianomenegaskan supaya kolaborasi KONI Pusat, Keraton Galuh Pakuan, PTPN Pemerintah Kabupaten Subang, dan sejumlah lembaga terkait tak terkecuali masyarakat sekitar dapat memberikan manfaat konkret.   “Kehadiran kami tentunya harus bermanfaat untuk peningkatan prestasi olahraga dan yang kedua peningkatan perekonomian masyarakat sekitar. Setiap pembangunan kawasan olahraga, kita perlu memperhatikan kondisi ekonomi warga sekitar terlebih dahulu. Oleh sebab itu saya berharap dengan pembangunan nanti bisa memperbaiki kehidupan masyarakat sekitar Jalan Cagak,” lanjutnya.  Baca juga: KONI Pusat lantik pengurus PP FTI masa bakti 2023-2027   Sekda Kabupaten Subang Asep Nuroni menyambut baik rencana yang disampaikan LAK Galuh Pakuan.   “Saat ini Subang terus meningkatkan kualitas, terbukti bahwa saat ini Kabupaten Subang mendapatkan kepercayaan Proyek Strategis Nasional (PSN),” ujar Asep Nuroni.   Subang memperoleh sejumlah Proyek Strategis Nasional, di antaranya Pelabuhan Patimban, Kawasan Industri Subang Smartpolitan, dan Bendungan Sadawarna. Dengan adanya rencana pembangunan kawasan pembinaan atlet yang mengangkat sport tourism dan sport industry tersebut maka semakin meningkatkan pertumbuhan ekonomi Subang.   Sebelumnya di Subang juga, KONI Pusat telah melakukan kerja sama dengan Sari Ater terkait pembangunan sentra olahraga sebagai pusat pembinaan atlet sekaligus mendorong sport industry dan sport tourism.  Baca juga: Olahraga ""piring terbang"" Ultimate fokus ekspansi untuk pengakuan KONI  Baca juga: Ketum KONI Pusat sampaikan IMAG 2023 jadi ajang pembibitan atletPewarta: Fajar SatriyoEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
" Selasa, 28 November 2023 21:01 WIB",Pewarta: Fajar SatriyoEditor: Eka Arifa RusqiyatiCOPYRIGHT © ANTARA 2023,IBCA-MMA diharapkan jadi ajang lahirkan atlet MMA internasional,"     Jakarta (ANTARA) - Kejuaraan Nasional (Kejurnas) IBCA-MMA (Indonesia Bela Diri Campuran Amatir-Mixed Martial Art) 2023 diharapkan menjadi ajang yang melahirkan atlet MMA ke kancah internasional.   “Semoga kita bisa semakin besar semakin diakui oleh masyarakat di Indonesia, kemudian mudah-mudahan juga kita bisa merambah ke dunia internasional,” kata Ketua Umum PPIBCA MMA I Made Susila Adnyana dalam keterangan resmi kepada pewarta, Selasa.   IBCA-MMAyang merupakan ajang PialaMenporapertama untuk cabang olahragaMMAtersebut diselenggarakan di Gedung SerbagunaAntariksheKoopsau1, Jakarta, 28-30 November, diikuti lebih dari 300 peserta dari 34 provinsi di Indonesia.   Susila juga berharap ajang ini bisa menjadi tempat untuk menempa para atlet menjadi lebih profesional lewat pembinaan yang diberikan oleh pelatih IBCA MMA.   ""Saya berharap para ofisial melatih anak-anaknya dengan sebaik-baiknya. Saya juga berharap kita tetap bersatu apa pun kondisinya. Mari kita bangun IBCA MMA ini dengan sebaik-baiknya,"" urai Susila.   Dalam Kejurnas IBCA-MMA tahun kedua ini, ada tiga nomor disiplin yang dipertandingkan yaitu striking atau stand up fighting, MMA amatir, junior dan senior. Kejurnas ini juga menjadi persiapan agar cabang olahraga itu dipertandingkan di PON 2024 sebagai cabang olahraga eksibisi.   “Mudah-mudahan ini juga untuk persiapan PON 2024 di Aceh dan Sumut. Tentu kita akan menyeleksi, melakukan kegiatan zona-zona dulu kemudian untuk benar-benar menyaring. Ya nanti mudah-mudahan kita bisa ikut PON dengan macam-macam pertandingan,” ucap Susila.  Baca juga: Windri Patilima catatkan kemenangan ke-9 pada BRAVE CF 76 di Jakarta  Baca juga: INAMMAF berkomitmen lahirkan petarung yang tembus ke panggung dunia  Baca juga: Jeka Saragih ingin prestasinya di UFC diikuti generasi mudaPewarta: Fajar SatriyoEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
